file_name,file_path,content_type,size_bytes,sha256,width,height,file_mtime
M001.jpg,products/phone/M001.jpg,image/jpeg,524288,a9627834a44fb85e4002f7c21f1c3fd879714d3078cb8390f18eb42563a3bcbe,1080,1920,2026-09-01T10:00:00Z
M002.jpg,products/phone/M002.jpg,image/jpeg,498432,04f62f50534101fe221509ee34544756a8c1bc2606079b0b49be289f51801cd0,1080,1920,2026-09-01T10:01:00Z
M003.jpg,products/phone/M003.jpg,image/jpeg,512000,789759369d8115c6f97e3e1f269774f8a00d756c7046a994aa8e3941b74e3bcf,1080,1920,2026-09-01T10:02:00Z
M004.jpg,products/appliance/M004.jpg,image/jpeg,786432,eadf37654f5343f3e047b21ba7670abe1317987cf80c09743f8c62e1278c3ec2,1920,1080,2026-09-02T14:00:00Z
M005.jpg,products/appliance/M005.jpg,image/jpeg,692224,c368224c7cb976151c0bae0e7bd417f10716c0e9a97f9dd1c65b0967011d85c6,1920,1080,2026-09-02T14:01:00Z
M006.jpg,products/shoes/M006.jpg,image/jpeg,614400,a24acc1680377858e117473872fa55d9f23c5746d61dcccf4ef54f817ab377c3,1080,1080,2026-09-01T16:30:00Z
M007.jpg,products/shoes/M007.jpg,image/jpeg,602112,b4b6dcf6aa5b8633ec78894d4f1cebbc7e6bcd8a4d1ce2dc724c45d7dd0fa18d,1080,1080,2026-09-01T16:31:00Z
M008.jpg,products/shoes/M008.jpg,image/jpeg,589824,83d85d40ab17eafe0afbbfb52d75f2ad8b75b84c1f8fa5018e1d04cf66681901,1080,1080,2026-09-01T16:32:00Z
M009.jpg,products/beauty/M009.jpg,image/jpeg,655360,feb110264aacaa3c091e0b6e208121182277894b8b4a05d33f68b4045d4c4b03,1080,1440,2026-09-03T09:00:00Z
M010.jpg,products/beauty/M010.jpg,image/jpeg,671744,86b6b1f9339c45060987fff9fc2494fbc135c55372e0fea9787c722b8754851a,1080,1440,2026-09-03T09:01:00Z
M011.jpg,products/audio/M011.jpg,image/jpeg,737280,d2af84565d6d8604b00150e3a97bee431462057185a713b5cc2297dd8c5c2b4d,1920,1080,2026-09-02T10:45:00Z
M012.jpg,products/audio/M012.jpg,image/jpeg,720896,2c3f7b92ba7254cab454f1e20f8c17479da32ab8b13545558127b0591f2729bd,1920,1080,2026-09-02T10:46:00Z
M013.jpg,products/furniture/M013.jpg,image/jpeg,983040,4c80499140d244a71699dcba3ab4241a180dc2b4233d8d7e17477ed5a6fdc03d,1920,1440,2026-08-30T15:00:00Z
M014.jpg,products/furniture/M014.jpg,image/jpeg,954368,8fc43bcfa0f55df88fbb1fc0dffcddcc4fff63ad5255d662762930af96d74c90,1920,1440,2026-08-30T15:01:00Z
M015.jpg,products/gaming/M015.jpg,image/jpeg,786432,580c3217cf7929727bc2ff4e2cc47396c906458533f0655afc24955a95c6463a,1080,1920,2026-09-04T09:45:00Z
M016.jpg,products/gaming/M016.jpg,image/jpeg,802816,23ea99209e6494a7113427c8bc4b34bcad73d2622b5b6f786b7be20ce8bcd2c7,1080,1920,2026-09-04T09:46:00Z
M017.jpg,products/gaming/M017.jpg,image/jpeg,819200,606b2719a0714332c45430a0442a48f4c11a3929b7fb97835aae489fd4b95736,1080,1920,2026-09-04T09:47:00Z
M018.jpg,products/personal/M018.jpg,image/jpeg,573440,dfb7da1c9f881af066f665a7614712a17c458cd2589666aceeea528cafb67a03,1080,1440,2026-09-03T14:15:00Z
M019.jpg,products/personal/M019.jpg,image/jpeg,589824,247ccb33ef6c57bcd536e4a9d485294f3b3a7500f7d9aea7ebb35364643bb7fa,1080,1440,2026-09-03T14:16:00Z
M020.jpg,products/tv/M020.jpg,image/jpeg,1048576,5230bf3dda74befbb3a83691240aedca58bd5749bd835cf66305793268616297,3840,2160,2026-09-01T13:00:00Z
